Date,Open,High,Low,Close,Adj Close,Volume
2020-06-19,0.190924,0.191168,0.186534,0.186790,0.186790,1097387856
2020-06-20,0.186790,0.189806,0.186086,0.188500,0.188500,966690908
2020-06-21,0.188468,0.189103,0.185501,0.185610,0.185610,893641269
2020-06-22,0.185665,0.190080,0.185594,0.189272,0.189272,1209278721
2020-06-23,0.189295,0.189973,0.187062,0.188680,0.188680,1093605185
2020-06-24,0.188700,0.190857,0.183050,0.184272,0.184272,1138044691
2020-06-25,0.184076,0.184982,0.180956,0.183570,0.183570,1055030012
2020-06-26,0.183472,0.185867,0.179898,0.182671,0.182671,1269492277
2020-06-27,0.183096,0.185064,0.174489,0.176851,0.176851,1142888783
2020-06-28,0.176872,0.180510,0.175249,0.177692,0.177692,1139431604
2020-06-29,0.177648,0.179559,0.176243,0.177959,0.177959,1164729579
2020-06-30,0.177701,0.178355,0.175005,0.175870,0.175870,1010363683
2020-07-01,0.175750,0.178491,0.174703,0.176976,0.176976,1115989502
2020-07-02,0.177155,0.178338,0.174234,0.177244,0.177244,1053683055
2020-07-03,0.177265,0.178443,0.175130,0.176336,0.176336,976699960
2020-07-04,0.176262,0.179679,0.176196,0.177984,0.177984,1000145449
2020-07-05,0.177914,0.178729,0.174790,0.177017,0.177017,969679447
2020-07-06,0.177017,0.189148,0.176471,0.188567,0.188567,1423923826
2020-07-07,0.188567,0.189005,0.182713,0.184787,0.184787,1067033698
2020-07-08,0.184814,0.205727,0.184200,0.204692,0.204692,1878269321
2020-07-09,0.204598,0.210292,0.198560,0.202910,0.202910,1809158571
2020-07-10,0.202842,0.202842,0.193318,0.198652,0.198652,1161794555
2020-07-11,0.198724,0.203610,0.198640,0.201197,0.201197,996288334
2020-07-12,0.201217,0.203251,0.198361,0.200538,0.200538,850245455
2020-07-13,0.200538,0.205161,0.195940,0.198575,0.198575,1197056593
2020-07-14,0.198495,0.199556,0.195536,0.198809,0.198809,1197284578
2020-07-15,0.198774,0.199623,0.196693,0.197111,0.197111,1067413757
2020-07-16,0.197021,0.197416,0.190181,0.194048,0.194048,1055841762
2020-07-17,0.194051,0.197143,0.191723,0.194281,0.194281,936113620
2020-07-18,0.194349,0.201602,0.193937,0.199341,0.199341,870207693
2020-07-19,0.199404,0.201336,0.196133,0.199135,0.199135,828392852
2020-07-20,0.199142,0.199775,0.193704,0.195065,0.195065,848780531
2020-07-21,0.194871,0.200471,0.194008,0.198988,0.198988,928954951
2020-07-22,0.199029,0.203739,0.196883,0.203342,0.203342,935529987
2020-07-23,0.203331,0.209244,0.201667,0.207578,0.207578,1443659224
2020-07-24,0.207814,0.208013,0.202637,0.204049,0.204049,1294356195
2020-07-25,0.203959,0.216598,0.203757,0.214102,0.214102,1225769666
2020-07-26,0.213994,0.224031,0.212792,0.214982,0.214982,1448138807
2020-07-27,0.214948,0.227415,0.211676,0.223672,0.223672,1762737985
2020-07-28,0.223889,0.233693,0.217894,0.230277,0.230277,1754695828
2020-07-29,0.230148,0.249353,0.230079,0.243099,0.243099,2022835116
2020-07-30,0.243254,0.248586,0.238768,0.244522,0.244522,1650758400
2020-07-31,0.244649,0.259601,0.242200,0.258904,0.258904,1854522560
2020-08-01,0.258904,0.295759,0.255844,0.289529,0.289529,3167874461
2020-08-02,0.289742,0.322561,0.275593,0.287062,0.287062,4780736538
2020-08-03,0.287490,0.318866,0.285190,0.309940,0.309940,3340814994
2020-08-04,0.309935,0.318296,0.294030,0.300493,0.300493,2746437659
2020-08-05,0.300783,0.307874,0.292720,0.303311,0.303311,2048410252
2020-08-06,0.303142,0.310062,0.298339,0.303584,0.303584,1946386689
2020-08-07,0.303464,0.309324,0.287329,0.294664,0.294664,4278382957
2020-08-08,0.294905,0.298728,0.291252,0.294022,0.294022,1355768291
2020-08-09,0.294618,0.298061,0.283924,0.288653,0.288653,1391288259
2020-08-10,0.288569,0.299405,0.288569,0.294659,0.294659,2108627560
2020-08-11,0.294683,0.305783,0.274603,0.284449,0.284449,4542499150
2020-08-12,0.284376,0.289849,0.274191,0.284930,0.284930,2001506679
2020-08-13,0.284930,0.298182,0.274354,0.297807,0.297807,2061442814
2020-08-14,0.297533,0.306374,0.293853,0.300371,0.300371,2246050523
2020-08-15,0.300246,0.304188,0.294891,0.299661,0.299661,2260353636
2020-08-16,0.299767,0.304052,0.294289,0.303492,0.303492,2078824448
2020-08-17,0.303641,0.324403,0.298660,0.314767,0.314767,3001054633
2020-08-18,0.314218,0.320406,0.301843,0.303307,0.303307,2126503478
2020-08-19,0.303513,0.305540,0.282474,0.290246,0.290246,2163768928
2020-08-20,0.290301,0.294099,0.286078,0.292573,0.292573,1749934412
2020-08-21,0.292468,0.295518,0.280258,0.280682,0.280682,1833818566
2020-08-22,0.280635,0.286546,0.275896,0.286546,0.286546,1417207522
2020-08-23,0.286358,0.287276,0.278829,0.285386,0.285386,1183627267
2020-08-24,0.285278,0.291312,0.283117,0.289215,0.289215,1237229520
2020-08-25,0.289044,0.289571,0.273311,0.277927,0.277927,1403395912
2020-08-26,0.277693,0.280136,0.274876,0.277491,0.277491,1194610015
2020-08-27,0.277360,0.278688,0.257513,0.264511,0.264511,1471948899
2020-08-28,0.264658,0.273302,0.261309,0.272046,0.272046,1178427813
2020-08-29,0.272009,0.276839,0.269447,0.274497,0.274497,1053592719
2020-08-30,0.274568,0.283597,0.274357,0.283034,0.283034,1202203314
2020-08-31,0.283065,0.284512,0.278658,0.281766,0.281766,1209798563
2020-09-01,0.281612,0.298213,0.278456,0.295696,0.295696,1730740377
2020-09-02,0.295612,0.303214,0.269151,0.276461,0.276461,1985414445
2020-09-03,0.276636,0.276726,0.245419,0.246580,0.246580,1847290355
2020-09-04,0.246726,0.266139,0.244301,0.255883,0.255883,1924234480
2020-09-05,0.255808,0.259606,0.233811,0.237692,0.237692,2160621038
2020-09-06,0.237692,0.243732,0.231323,0.240731,0.240731,1752405005
2020-09-07,0.240812,0.243432,0.231285,0.242174,0.242174,1773175897
2020-09-08,0.242029,0.243872,0.232833,0.236753,0.236753,1618416970
2020-09-09,0.236723,0.243213,0.234273,0.239609,0.239609,1203137131
2020-09-10,0.239689,0.249185,0.239570,0.243530,0.243530,1353359148
2020-09-11,0.243530,0.244815,0.237520,0.243292,0.243292,1096662166
2020-09-12,0.243055,0.248752,0.241820,0.247814,0.247814,1043746083
2020-09-13,0.247814,0.253136,0.238857,0.241801,0.241801,1163182194
2020-09-14,0.241804,0.249822,0.240322,0.246327,0.246327,1195994290
2020-09-15,0.246265,0.249245,0.243392,0.243850,0.243850,1245531094
2020-09-16,0.244010,0.250974,0.236727,0.247847,0.247847,1421286455
2020-09-17,0.247743,0.258190,0.247218,0.252194,0.252194,1735400721
2020-09-18,0.252284,0.255716,0.247091,0.250707,0.250707,1282349756
2020-09-19,0.250530,0.254101,0.248359,0.251716,0.251716,1043485055
2020-09-20,0.251663,0.251663,0.243716,0.246743,0.246743,1091283585
2020-09-21,0.246818,0.248110,0.230479,0.232138,0.232138,1718957623
2020-09-22,0.231848,0.234743,0.230237,0.233417,0.233417,1019583831
2020-09-23,0.233571,0.236175,0.221148,0.221657,0.221657,1011343441
2020-09-24,0.221660,0.233776,0.220625,0.233018,0.233018,1316129692
2020-09-25,0.233079,0.244589,0.230421,0.241805,0.241805,1389150295
2020-09-26,0.241888,0.245595,0.239340,0.242369,0.242369,1176448176
2020-09-27,0.242391,0.245023,0.238844,0.243252,0.243252,990209623
2020-09-28,0.243252,0.248270,0.241819,0.242051,0.242051,1312887582
2020-09-29,0.241815,0.246431,0.239322,0.243139,0.243139,1244211927
2020-09-30,0.243157,0.243180,0.239202,0.242311,0.242311,1161931498
2020-10-01,0.242368,0.245157,0.235728,0.238361,0.238361,1290732679
2020-10-02,0.238302,0.239372,0.230124,0.234202,0.234202,1449826826
2020-10-03,0.234333,0.235235,0.233366,0.233505,0.233505,853442733
2020-10-04,0.233518,0.250667,0.232574,0.248502,0.248502,1481572450
2020-10-05,0.248458,0.253904,0.247209,0.250896,0.250896,1739237137
2020-10-06,0.250813,0.259083,0.242763,0.245860,0.245860,2633330450
2020-10-07,0.245860,0.251393,0.242644,0.249041,0.249041,1486567165
2020-10-08,0.249154,0.252943,0.243324,0.251615,0.251615,1584042829
2020-10-09,null,null,null,null,null,null
2020-10-10,0.253227,0.259773,0.253144,0.254290,0.254290,1957706164
2020-10-11,0.254201,0.258189,0.253823,0.255719,0.255719,1851962086
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.256727,0.258393,0.246683,0.249448,0.249448,1954936434
2020-10-15,0.249406,0.250278,0.244011,0.245940,0.245940,1652788747
2020-10-16,0.246058,0.247590,0.238500,0.240443,0.240443,1656312547
2020-10-17,0.240541,0.242719,0.239218,0.240931,0.240931,1173505925
2020-10-18,0.240850,0.243419,0.240571,0.242225,0.242225,1238720802
2020-10-19,0.242308,0.249471,0.240497,0.245964,0.245964,1435700560
2020-10-20,0.245927,0.249400,0.242562,0.243573,0.243573,1526376279
2020-10-21,0.243485,0.255227,0.243179,0.251615,0.251615,2306399543
2020-10-22,0.251335,0.263463,0.251233,0.256807,0.256807,2827483708
2020-10-23,0.257326,0.259306,0.250713,0.254879,0.254879,2125734863
2020-10-24,0.254879,0.257645,0.252832,0.256431,0.256431,1590424952
2020-10-25,0.256431,0.257147,0.251745,0.253213,0.253213,1484930709
2020-10-26,0.253213,0.258408,0.244082,0.248688,0.248688,2390566065
2020-10-27,0.248688,0.253874,0.248097,0.252899,0.252899,2273574015
2020-10-28,0.252900,0.256393,0.244608,0.245865,0.245865,2375598739
2020-10-29,0.245865,0.246996,0.240312,0.242295,0.242295,5451698743
2020-10-30,0.242292,0.244000,0.232828,0.239184,0.239184,2364402263
2020-10-31,0.239188,0.243219,0.237749,0.239744,0.239744,2100764094
2020-11-01,0.239739,0.241320,0.237094,0.239797,0.239797,1855741696
2020-11-02,0.239804,0.244259,0.233769,0.235421,0.235421,2412875798
2020-11-03,0.235420,0.242128,0.228772,0.239510,0.239510,3052524907
2020-11-04,0.239510,0.240390,0.233388,0.237793,0.237793,3335786074
2020-11-05,0.237799,0.247046,0.237558,0.245776,0.245776,2949508995
2020-11-06,0.245770,0.260805,0.245307,0.258445,0.258445,3282591092
2020-11-07,0.258445,0.266417,0.245585,0.249582,0.249582,3395345984
2020-11-08,0.249582,0.256735,0.247913,0.253939,0.253939,2364742336
2020-11-09,0.253939,0.256070,0.246115,0.250748,0.250748,3079413903
2020-11-10,0.250753,0.264297,0.248724,0.253911,0.253911,3488798458
2020-11-11,0.253911,0.259724,0.252842,0.256259,0.256259,2811079099
2020-11-12,0.256258,0.258081,0.252839,0.254903,0.254903,2443233108
2020-11-13,0.254903,0.265679,0.254091,0.265191,0.265191,2989109717
2020-11-14,0.265191,0.277014,0.262454,0.268342,0.268342,4433908911
2020-11-15,0.268342,0.276618,0.264645,0.269642,0.269642,3613774298
2020-11-16,0.269641,0.288008,0.268053,0.285520,0.285520,4105697051
2020-11-17,0.291796,0.304402,0.291113,0.302408,0.302408,6002566535
2020-11-18,0.302397,0.307277,0.283828,0.294222,0.294222,5684799554
